"Dec_time","Dec_ZT_time","Condition","mean","SEM"
255,1215,"1 Male",0.69047619047619,0.265053399476147
256,1216,"1 Male",0.571428571428571,0.196197467259268
257,1217,"1 Male",0.761904761904762,0.286776962972791
258,1218,"1 Male",0.904761904761905,0.470758801077101
259,1219,"1 Male",0.761904761904762,0.272233255116058
260,1220,"1 Male",0.642857142857143,0.203971681016536
261,1221,"1 Male",0.785714285714286,0.298147034569631
262,1222,"1 Male",0.5,0.221519407392074
263,1223,"1 Male",0.547619047619048,0.196373571295493
264,1224,"1 Male",0.428571428571429,0.167452932152523
265,1225,"1 Male",0.428571428571429,0.152953338450508
266,1226,"1 Male",0.428571428571429,0.190185608780713
267,1227,"1 Male",0.476190476190476,0.177863482466189
268,1228,"1 Male",0.785714285714286,0.247016375495096
269,1229,"1 Male",0.404761904761905,0.160065041257184
270,1230,"1 Male",1.14285714285714,0.450282436300466
271,1231,"1 Male",0.642857142857143,0.238124272329612
272,1232,"1 Male",0.666666666666667,0.282404366279435
273,1233,"1 Male",0.380952380952381,0.18651514388756
274,1234,"1 Male",0.404761904761905,0.173972923686377
275,1235,"1 Male",0.571428571428571,0.215924818999031
276,1236,"1 Male",0.30952380952381,0.125162357918952
277,1237,"1 Male",0.380952380952381,0.173614913403415
278,1238,"1 Male",0.285714285714286,0.109298865096572
279,1239,"1 Male",0.380952380952381,0.159675851063189
280,1240,"1 Male",0.380952380952381,0.189603109376475
281,1241,"1 Male",0.642857142857143,0.355513122433382
282,1242,"1 Male",0.523809523809524,0.207965911277076
283,1243,"1 Male",0.428571428571429,0.174250867596515
284,1244,"1 Male",0.404761904761905,0.163652857043483
285,1245,"1 Male",0.833333333333333,0.429618671457475
286,1246,"1 Male",0.476190476190476,0.19047619047619
287,1247,"1 Male",0.404761904761905,0.160065041257184
288,1248,"1 Male",0.642857142857143,0.263588715837082
289,1249,"1 Male",0.595238095238095,0.212991315766116
290,1250,"1 Male",0.285714285714286,0.114488785901629
291,1251,"1 Male",0.238095238095238,0.101152038884102
292,1252,"1 Male",0.285714285714286,0.128809947809633
293,1253,"1 Male",0.214285714285714,0.0995676733995299
294,1254,"1 Male",0.5,0.205188222703822
295,1255,"1 Male",0.642857142857143,0.418533234077308
296,1256,"1 Male",0.166666666666667,0.107320152702797
297,1257,"1 Male",0.238095238095238,0.139725647098356
298,1258,"1 Male",0.166666666666667,0.0674460826228565
299,1259,"1 Male",0.380952380952381,0.192641582403847
300,1260,"1 Male",0.142857142857143,0.0997757565385112
301,1261,"1 Male",0.166666666666667,0.117645635481358
302,1262,"1 Male",0.0952380952380952,0.0571234965266339
303,1263,"1 Male",0.166666666666667,0.127135266230395
304,1264,"1 Male",0.166666666666667,0.107320152702797
305,1265,"1 Male",0.142857142857143,0.0873631571154076
306,1266,"1 Male",0.214285714285714,0.120662679936744
307,1267,"1 Male",0.142857142857143,0.0997757565385112
308,1268,"1 Male",0.119047619047619,0.0848745809175188
309,1269,"1 Male",0.166666666666667,0.10176529364337
310,1270,"1 Male",0.214285714285714,0.120662679936744
311,1271,"1 Male",0.214285714285714,0.125383102989787
312,1272,"1 Male",0.476190476190476,0.264505093575539
313,1273,"1 Male",0.19047619047619,0.0851185907576086
314,1274,"1 Male",0.404761904761905,0.198892180999227
315,1275,"1 Male",0.261904761904762,0.144827679292815
316,1276,"1 Male",0.142857142857143,0.0804417866244961
317,1277,"1 Male",0.166666666666667,0.0958891798092512
318,1278,"1 Male",0.428571428571429,0.270807407088256
319,1279,"1 Male",0.428571428571429,0.228977571803259
320,1280,"1 Male",0.404761904761905,0.192964295378623
321,1281,"1 Male",0.30952380952381,0.138383295224977
322,1282,"1 Male",0.357142857142857,0.166334495600721
323,1283,"1 Male",0.30952380952381,0.134121199709415
324,1284,"1 Male",0.714285714285714,0.365920020528522
