"Dec_time","Dec_ZT_time","Condition","mean","SEM"
275,1235,"1 Male",0.166666666666667,0.104564841828275
276,1236,"1 Male",0.166666666666667,0.0859517705215661
277,1237,"1 Male",0.166666666666667,0.120332478730193
278,1238,"1 Male",0.291666666666667,0.195150272461013
279,1239,"1 Male",0.125,0.0766369816104119
280,1240,"1 Male",0.270833333333333,0.1388260791784
281,1241,"1 Male",0.166666666666667,0.095711840966424
282,1242,"1 Male",0.270833333333333,0.153965270023868
283,1243,"1 Male",0.208333333333333,0.102962902727446
284,1244,"1 Male",0.75,0.628447936197294
285,1245,"1 Male",0.625,0.443256205630319
286,1246,"1 Male",0.520833333333333,0.343363607251657
287,1247,"1 Male",0.416666666666667,0.222480641705759
288,1248,"1 Male",0.0833333333333333,0.0654589182339529
289,1249,"1 Male",0.25,0.158952689334936
290,1250,"1 Male",0.0625,0.0461865819758285
291,1251,"1 Male",0.0833333333333333,0.0582953270311121
292,1252,"1 Male",0.1875,0.128604932733563
293,1253,"1 Male",0.291666666666667,0.136308777202045
294,1254,"1 Male",0.208333333333333,0.148748721114156
295,1255,"1 Male",0.1875,0.0971958339737047
296,1256,"1 Male",0.1875,0.0925229988659519
297,1257,"1 Male",0.145833333333333,0.107310708046614
298,1258,"1 Male",0.416666666666667,0.20157476951954
299,1259,"1 Male",0.229166666666667,0.116233682349522
300,1260,"1 Male",0.333333333333333,0.204846710837393
301,1261,"1 Male",0.354166666666667,0.203012732659184
302,1262,"1 Male",0.916666666666667,0.577989709267313
303,1263,"1 Male",0.0833333333333333,0.0501180639188034
304,1264,"1 Male",0.375,0.194391667947409
305,1265,"1 Male",0.166666666666667,0.0806299078078161
306,1266,"1 Male",0.166666666666667,0.116590654062224
307,1267,"1 Male",0.3125,0.188678330529363
308,1268,"1 Male",0.4375,0.297606066079601
309,1269,"1 Male",0.958333333333333,0.568030014107278
310,1270,"1 Male",0.208333333333333,0.129641941889678
311,1271,"1 Male",0.0416666666666667,0.0416666666666667
312,1272,"1 Male",0.145833333333333,0.0787174639155474
313,1273,"1 Male",0.0833333333333333,0.0654589182339529
314,1274,"1 Male",0.0416666666666667,0.029147663515556
315,1275,"1 Male",0.25,0.191809228510632
316,1276,"1 Male",0.1875,0.0971958339737047
317,1277,"1 Male",0.229166666666667,0.137220325931328
318,1278,"1 Male",0.5,0.206284249251759
319,1279,"1 Male",0.1875,0.087601258532363
320,1280,"1 Male",0.333333333333333,0.179472565845739
321,1281,"1 Male",0.208333333333333,0.115156127957424
322,1282,"1 Male",0.1875,0.087601258532363
323,1283,"1 Male",0.3125,0.179034670163539
324,1284,"1 Male",0.583333333333333,0.288419103382937
325,1285,"1 Male",0.5,0.201940936523459
326,1286,"1 Male",0.25,0.113378172189703
327,1287,"1 Male",0.354166666666667,0.12802919427337
328,1288,"1 Male",0.3125,0.11202618899738
329,1289,"1 Male",0.333333333333333,0.134260957571933
330,1290,"1 Male",0.354166666666667,0.144305574042598
331,1291,"1 Male",0.375,0.14775206854344
332,1292,"1 Male",0.291666666666667,0.115156127957424
333,1293,"1 Male",0.354166666666667,0.147345252799195
